symbol,date,price
MSFT,Jan 1 2000,39.81
MSFT,Feb 1 2000,36.35
MSFT,Mar 1 2000,43.22
MSFT,Apr 1 2000,28.37
MSFT,May 1 2000,25.45
MSFT,Jun 1 2000,32.54
MSFT,Jul 1 2000,28.4
MSFT,Aug 1 2000,28.4
MSFT,Sep 1 2000,24.53
MSFT,Oct 1 2000,28.02
MSFT,Nov 1 2000,23.34
MSFT,Dec 1 2000,17.65
MSFT,Jan 1 2001,24.84
MSFT,Feb 1 2001,24.0
MSFT,Mar 1 2001,22.25
MSFT,Apr 1 2001,27.56
MSFT,May 1 2001,28.14
MSFT,Jun 1 2001,29.7
MSFT,Jul 1 2001,26.93
MSFT,Aug 1 2001,23.21
MSFT,Sep 1 2001,20.82
MSFT,Oct 1 2001,23.65
MSFT,Nov 1 2001,26.12
MSFT,Dec 1 2001,26.95
MSFT,Jan 1 2002,25.92
MSFT,Feb 1 2002,23.73
MSFT,Mar 1 2002,24.53
MSFT,Apr 1 2002,21.26
MSFT,May 1 2002,20.71
MSFT,Jun 1 2002,22.25
MSFT,Jul 1 2002,19.52
MSFT,Aug 1 2002,19.97
MSFT,Sep 1 2002,17.79
MSFT,Oct 1 2002,21.75
MSFT,Nov 1 2002,23.46
MSFT,Dec 1 2002,21.03
MSFT,Jan 1 2003,19.31
MSFT,Feb 1 2003,19.34
MSFT,Mar 1 2003,19.76
MSFT,Apr 1 2003,20.87
MSFT,May 1 2003,20.09
MSFT,Jun 1 2003,20.93
MSFT,Jul 1 2003,21.56
MSFT,Aug 1 2003,21.65
MSFT,Sep 1 2003,22.69
MSFT,Oct 1 2003,21.45
MSFT,Nov 1 2003,21.1
MSFT,Dec 1 2003,22.46
MSFT,Jan 1 2004,22.69
MSFT,Feb 1 2004,21.77
MSFT,Mar 1 2004,20.46
MSFT,Apr 1 2004,21.45
MSFT,May 1 2004,21.53
MSFT,Jun 1 2004,23.44
MSFT,Jul 1 2004,23.38
MSFT,Aug 1 2004,22.47
MSFT,Sep 1 2004,22.76
MSFT,Oct 1 2004,23.02
MSFT,Nov 1 2004,24.6
MSFT,Dec 1 2004,24.52
MSFT,Jan 1 2005,24.11
MSFT,Feb 1 2005,23.15
MSFT,Mar 1 2005,22.24
MSFT,Apr 1 2005,23.28
MSFT,May 1 2005,23.82
MSFT,Jun 1 2005,22.93
MSFT,Jul 1 2005,23.64
MSFT,Aug 1 2005,25.35
MSFT,Sep 1 2005,23.83
MSFT,Oct 1 2005,23.8
MSFT,Nov 1 2005,25.71
MSFT,Dec 1 2005,24.29
MSFT,Jan 1 2006,26.14
MSFT,Feb 1 2006,25.04
MSFT,Mar 1 2006,25.36
MSFT,Apr 1 2006,22.5
MSFT,May 1 2006,21.19
MSFT,Jun 1 2006,21.8
MSFT,Jul 1 2006,22.51
MSFT,Aug 1 2006,24.13
MSFT,Sep 1 2006,25.68
MSFT,Oct 1 2006,26.96
MSFT,Nov 1 2006,27.66
MSFT,Dec 1 2006,28.13
MSFT,Jan 1 2007,29.07
MSFT,Feb 1 2007,26.63
MSFT,Mar 1 2007,26.35
MSFT,Apr 1 2007,28.3
MSFT,May 1 2007,29.11
MSFT,Jun 1 2007,27.95
MSFT,Jul 1 2007,27.5
MSFT,Aug 1 2007,27.34
MSFT,Sep 1 2007,28.04
MSFT,Oct 1 2007,35.03
MSFT,Nov 1 2007,32.09
MSFT,Dec 1 2007,34.0
MSFT,Jan 1 2008,31.13
MSFT,Feb 1 2008,26.07
MSFT,Mar 1 2008,27.21
MSFT,Apr 1 2008,27.34
MSFT,May 1 2008,27.25
MSFT,Jun 1 2008,26.47
MSFT,Jul 1 2008,24.75
MSFT,Aug 1 2008,26.36
MSFT,Sep 1 2008,25.78
MSFT,Oct 1 2008,21.57
MSFT,Nov 1 2008,19.66
MSFT,Dec 1 2008,18.91
MSFT,Jan 1 2009,16.63
MSFT,Feb 1 2009,15.81
MSFT,Mar 1 2009,17.99
MSFT,Apr 1 2009,19.84
MSFT,May 1 2009,20.59
MSFT,Jun 1 2009,23.42
MSFT,Jul 1 2009,23.18
MSFT,Aug 1 2009,24.43
MSFT,Sep 1 2009,25.49
MSFT,Oct 1 2009,27.48
MSFT,Nov 1 2009,29.27
MSFT,Dec 1 2009,30.34
MSFT,Jan 1 2010,28.05
MSFT,Feb 1 2010,28.67
MSFT,Mar 1 2010,28.8
AMZN,Jan 1 2000,64.56
AMZN,Feb 1 2000,68.87
AMZN,Mar 1 2000,67.0
AMZN,Apr 1 2000,55.19
AMZN,May 1 2000,48.31
AMZN,Jun 1 2000,36.31
AMZN,Jul 1 2000,30.12
AMZN,Aug 1 2000,41.5
AMZN,Sep 1 2000,38.44
AMZN,Oct 1 2000,36.62
AMZN,Nov 1 2000,24.69
AMZN,Dec 1 2000,15.56
AMZN,Jan 1 2001,17.31
AMZN,Feb 1 2001,10.19
AMZN,Mar 1 2001,10.23
AMZN,Apr 1 2001,15.78
AMZN,May 1 2001,16.69
AMZN,Jun 1 2001,14.15
AMZN,Jul 1 2001,12.49
AMZN,Aug 1 2001,8.94
AMZN,Sep 1 2001,5.97
AMZN,Oct 1 2001,6.98
AMZN,Nov 1 2001,11.32
AMZN,Dec 1 2001,10.82
AMZN,Jan 1 2002,14.19
AMZN,Feb 1 2002,14.1
AMZN,Mar 1 2002,14.3
AMZN,Apr 1 2002,16.69
AMZN,May 1 2002,18.23
AMZN,Jun 1 2002,16.25
AMZN,Jul 1 2002,14.45
AMZN,Aug 1 2002,14.94
AMZN,Sep 1 2002,15.93
AMZN,Oct 1 2002,19.36
AMZN,Nov 1 2002,23.35
AMZN,Dec 1 2002,18.89
AMZN,Jan 1 2003,21.85
AMZN,Feb 1 2003,22.01
AMZN,Mar 1 2003,26.03
AMZN,Apr 1 2003,28.69
AMZN,May 1 2003,35.89
AMZN,Jun 1 2003,36.32
AMZN,Jul 1 2003,41.64
AMZN,Aug 1 2003,46.32
AMZN,Sep 1 2003,48.43
AMZN,Oct 1 2003,54.43
AMZN,Nov 1 2003,53.97
AMZN,Dec 1 2003,52.62
AMZN,Jan 1 2004,50.4
AMZN,Feb 1 2004,43.01
AMZN,Mar 1 2004,43.28
AMZN,Apr 1 2004,43.6
AMZN,May 1 2004,48.5
AMZN,Jun 1 2004,54.4
AMZN,Jul 1 2004,38.92
AMZN,Aug 1 2004,38.14
AMZN,Sep 1 2004,40.86
AMZN,Oct 1 2004,34.13
AMZN,Nov 1 2004,39.68
AMZN,Dec 1 2004,44.29
AMZN,Jan 1 2005,43.22
AMZN,Feb 1 2005,35.18
AMZN,Mar 1 2005,34.27
AMZN,Apr 1 2005,32.36
AMZN,May 1 2005,35.51
AMZN,Jun 1 2005,33.09
AMZN,Jul 1 2005,45.15
AMZN,Aug 1 2005,42.7
AMZN,Sep 1 2005,45.3
AMZN,Oct 1 2005,39.86
AMZN,Nov 1 2005,48.46
AMZN,Dec 1 2005,47.15
AMZN,Jan 1 2006,44.82
AMZN,Feb 1 2006,37.44
AMZN,Mar 1 2006,36.53
AMZN,Apr 1 2006,35.21
AMZN,May 1 2006,34.61
AMZN,Jun 1 2006,38.68
AMZN,Jul 1 2006,26.89
AMZN,Aug 1 2006,30.83
AMZN,Sep 1 2006,32.12
AMZN,Oct 1 2006,38.09
AMZN,Nov 1 2006,40.34
AMZN,Dec 1 2006,39.46
AMZN,Jan 1 2007,37.67
AMZN,Feb 1 2007,39.14
AMZN,Mar 1 2007,39.79
AMZN,Apr 1 2007,61.33
AMZN,May 1 2007,69.14
AMZN,Jun 1 2007,68.41
AMZN,Jul 1 2007,78.54
AMZN,Aug 1 2007,79.91
AMZN,Sep 1 2007,93.15
AMZN,Oct 1 2007,89.15
AMZN,Nov 1 2007,90.56
AMZN,Dec 1 2007,92.64
AMZN,Jan 1 2008,77.7
AMZN,Feb 1 2008,64.47
AMZN,Mar 1 2008,71.3
AMZN,Apr 1 2008,78.63
AMZN,May 1 2008,81.62
AMZN,Jun 1 2008,73.33
AMZN,Jul 1 2008,76.34
AMZN,Aug 1 2008,80.81
AMZN,Sep 1 2008,72.76
AMZN,Oct 1 2008,57.24
AMZN,Nov 1 2008,42.7
AMZN,Dec 1 2008,51.28
AMZN,Jan 1 2009,58.82
AMZN,Feb 1 2009,64.79
AMZN,Mar 1 2009,73.44
AMZN,Apr 1 2009,80.52
AMZN,May 1 2009,77.99
AMZN,Jun 1 2009,83.66
AMZN,Jul 1 2009,85.76
AMZN,Aug 1 2009,81.19
AMZN,Sep 1 2009,93.36
AMZN,Oct 1 2009,118.81
